time,U,C
0.0,0.3,0.255
0.001,0.3000499975000833,0.25504249787507083
0.002,0.3000999900006666,0.2550849915005666
0.003,0.3001499775022498,0.25512748087691234
0.004,0.3001999600053328,0.25516996600453284
0.005,0.30024993751041534,0.25521244688385303
0.006,0.3002999100179973,0.25525492351529766
0.007,0.30034987752857834,0.25529739589929157
0.008,0.30039984004265813,0.2553398640362594
0.009000000000000001,0.3004497975607363,0.25538232792662585
0.01,0.3004997500833125,0.2554247875708156
0.011,0.3005496976108862,0.25546724296925327
0.012,0.3005996401439568,0.25550969412236324
0.013000000000000001,0.30064957768302386,0.2555521410305703
0.014,0.30069951022858665,0.25559458369429866
0.015,0.30074943778114455,0.2556370221139729
0.016,0.3007993603411968,0.25567945629001726
0.017,0.3008492779092427,0.2557218862228563
0.018000000000000002,0.30089919048578134,0.25576431191291416
0.019,0.3009490980713119,0.25580673336061516
0.02,0.30099900066633345,0.2558491505663834
0.021,0.301048898271345,0.25589156353064324
0.022,0.3010987908868455,0.25593397225381864
0.023,0.30114867851333393,0.25597637673633383
0.024,0.3011985611513091,0.25601877697861275
0.025,0.30124843880126995,0.25606117298107944
0.026000000000000002,0.3012983114637151,0.25610356474415785
0.027,0.3013481791391434,0.2561459522682719
0.028,0.3013980418280535,0.25618833555384546
0.029,0.30144789953094403,0.2562307146013024
0.03,0.3014977522483135,0.25627308941106647
0.031,0.3015475999806605,0.2563154599835614
0.032,0.30159744272848354,0.256357826319211
0.033,0.30164728049228096,0.2564001884184388
0.034,0.30169711327255117,0.25644254628166846
0.035,0.30174694106979255,0.25648489990932366
0.036000000000000004,0.3017967638845033,0.2565272493018278
0.037,0.3018465817171817,0.2565695944596044
0.038,0.3018963945683259,0.25661193538307703
0.039,0.30194620243843406,0.25665427207266894
0.04,0.30199600532800425,0.2566966045288036
0.041,0.3020458032375345,0.2567389327519043
0.042,0.30209559616752274,0.2567812567423943
0.043000000000000003,0.3021453841184669,0.25682357650069687
0.044,0.30219516709086497,0.2568658920272352
0.045,0.3022449450852147,0.25690820332243247
0.046,0.30229471810201386,0.2569505103867118
