t,x,y,well_distance,speed,spin,orientation,orbital_L,max_strain,max_compression,rms_displacement,lattice_energy_proxy,packet_energy_proxy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.1941121182196004e-19,7.198399585747578e-29,0.0
0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,5.981101734824159e-18,7.636255953234888e-29,0.0
0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.89269677566213e-17,8.613466329585489e-29,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,3.848226957894443e-17,9.997450670230287e-29,0.0
0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,6.410732155931135e-17,1.1676760240474164e-28,0.0
0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,9.529536763906567e-17,1.35581942821757e-28,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.3129287102435917e-16,1.5117802985390428e-28,0.0
0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.6937377486586903e-16,1.6070047992164625e-28,0.0
0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.0771039447854414e-16,1.9996488273948477e-28,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.4269788657319174e-16,1.902679005357467e-28,0.0
0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.6973264417537837e-16,1.5527565592315892e-28,0.0
0.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.8890037830511046e-16,1.8754591124318884e-28,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.9687111834151676e-16,2.6237725055157233e-28,0.0
0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.916042590698983e-16,2.6476173099414336e-28,0.0
0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.7571810676144314e-16,2.7831174152066137e-28,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.5339686153075807e-16,1.8575621396795002e-28,0.0
0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.3092449828287586e-16,1.4730508467174607e-28,0.0
0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.157115075680628e-16,1.3663934143617697e-28,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.0892941120793425e-16,1.5643122999418916e-28,0.0
0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.0863575398790647e-16,1.416236578288843e-28,0.0
0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.1199583269687097e-16,1.5015434426153413e-28,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.1729905514478822e-16,1.7206949589851085e-28,0.0
0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.2549772211188826e-16,1.2748265977343506e-28,0.0
0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,8.881784197001252e-16,2.3795458277715707e-16,1.1740943070307761e-28,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,6.661338147750939e-16,2.513756142021987e-16,1.0055113909374305e-28,0.0
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.6060155934156053e-16,1.188308594077578e-28,0.0
0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.6367642497165315e-16,1.1214617951874992e-28,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,6.661338147750939e-16,2.617059130013255e-16,7.18325999391994e-29,0.0
0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,6.661338147750939e-16,2.5703942096855655e-16,8.173147435985106e-29,0.0
0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,8.881784197001252e-16,2.5084398980977686e-16,8.522456664820359e-29,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.4443763239521464e-16,8.426905230101952e-29,0.0
