t,energy,barycenter_x,barycenter_y,mercury_x,mercury_y,mercury_r,mercury_angle,mercury_peri_angle,mercury_Keff,mercury_deltaC,mercury_state,venus_x,venus_y,venus_r,venus_angle,venus_peri_angle,venus_Keff,venus_deltaC,venus_state,earth_x,earth_y,earth_r,earth_angle,earth_peri_angle,earth_Keff,earth_deltaC,earth_state,mars_x,mars_y,mars_r,mars_angle,mars_peri_angle,mars_Keff,mars_deltaC,mars_state,jupiter_x,jupiter_y,jupiter_r,jupiter_angle,jupiter_peri_angle,jupiter_Keff,jupiter_deltaC,jupiter_state
0.0,-0.0037536188042332852,0.004731690644025039,0.0,0.30749903826,0.0,0.30749903826,0.0,0.0,1.0,0.0,0,0.718433595696,0.0,0.718433595696,0.0,0.0,1.0,0.0,0,0.98329,0.0,0.98329,0.0,0.0,1.0,0.0,0,1.3813658577210002,0.0,1.3813658577210002,0.0,0.0,1.0,0.0,0,4.9502843052,0.0,4.9502843052,0.0,0.0,1.0,0.0,0
0.02,-0.003753618803980634,0.004731690644030267,5.416403003194459e-16,0.22962664009656034,0.22788971199028837,0.32355446763902324,0.781725572636899,-6.959197182255419e-06,1.0,3.68715742583234,1,0.7031924158061761,0.14770495854183305,0.7185487827761198,0.20711571797888623,-0.0006773943785112895,1.0,0.3049159823173436,1,0.9751357890199892,0.12742802250545004,0.9834333991335902,0.12999747627785269,0.00014560682659731507,1.0,0.11894203397830631,0,1.3772310787570752,0.11168927632366042,1.381756638510414,0.08096035336672715,-3.3985808878049534e-06,1.0,0.04289620968302962,0,4.949962103482664,0.05785972908684289,4.9503005228191554,0.011699716445514095,0.0002715796267269602,1.0,0.0009321738468516985,0
0.04,-0.0037536188035215507,0.004731690644044872,3.656797087359109e-15,0.04694793310765873,0.3580424146853094,0.36121822557303274,1.4404607418045845,-1.2113164666234404e-05,1.0,6.120707982757429,1,0.6581295846917219,0.28914418150356125,0.7188892321356477,0.41409932940129324,-0.0013804165491996937,1.0,0.5750555777027474,1,0.9508154484406177,0.2527428393005611,0.9838611325158938,0.2599193893925718,0.00026071216282052407,1.0,0.22432715779287457,1,1.3648584754534825,0.2227102769157983,1.3829259920589825,0.16182927253159768,-1.0841332622207918e-05,1.0,0.08086796824348662,0,4.948995546689863,0.11571191925625367,4.9503491829290285,0.023399272224467367,0.0005363935371661351,1.0,0.0017589192039845227,0
0.060000000000000005,-0.003753618803161383,0.004731690644067225,1.0205025843465498e-14,-0.15498044796372876,0.3716767748053845,0.40285052314338954,1.9656986199535431,-1.2022869438397707e-05,1.0,7.458081613297305,1,0.5851949575416149,0.41833481600687145,0.719439907403105,0.6208250465830784,-0.0020912252273020595,1.0,0.8140735404113274,1,0.9107526334996215,0.3738716872444131,0.9845658260705217,0.3896916464320399,0.00033248964988410003,1.0,0.31758600091733163,1,1.344342705631857,0.33240208676795835,1.3848649900344088,0.24251648574239404,-2.4013163074670828e-05,1.0,0.11440028561058643,0,4.947384779882381,0.1735490330102074,4.950430296503122,0.03509850935302665,0.0007936568215934533,1.0,0.002492139410018381,0
0.08,-0.00375361880293343,0.004731690644096339,2.033350701355352e-14,-0.3219460535309,0.29567431582293746,0.43727434431625356,2.39833811311775,-8.531295942131632e-06,1.0,8.132181474548148,1,0.4875329360239467,0.5298440097186996,0.7201766894950559,0.8271792060421196,-0.002771131067052752,1.0,1.025239795861671,1,0.8556428441665407,0.48882155340919026,0.985535302799721,0.5192430853910042,0.0003599557787814696,1.0,0.39999284410130265,1,1.3158397453368762,0.4401183241939464,1.3875588983309275,0.3229340058608904,-4.35378115777329e-05,1.0,0.14392556481121663,0,4.945130044775561,0.23136353569241006,4.950543867584995,0.04679727159597474,0.0010441444260445324,1.0,0.0031423918141010635,0
0.1,-0.0037536188027993663,0.00473169064413158,3.4222570523961826e-14,-0.42925570587654,0.16336301399350314,0.45939888531009976,2.777383685186269,-4.634849367380167e-06,1.0,8.457561424136125,1,0.36933189990307136,0.6190259346559474,0.7210676215380183,1.0330652523069148,-0.003381084056910769,1.0,1.2114931560480617,1,0.7864380011527535,0.5957162429797306,0.9867528278006827,0.6485068755145875,0.0003477330870662659,1.0,0.47268446116038193,1,1.2795642829255987,0.5452339438073354,1.390987415184596,0.40299718966661163,-6.973345937088651e-05,1.0,0.16983045417136794,1,4.94223167966593,0.28914789691262427,4.950689893342525,0.058495403344439006,0.001287919456083215,1.0,0.003719039984897421,0
0.12000000000000001,-0.003753618802731693,0.004731690644172326,5.2117164750509204e-14,-0.4671849190560738,0.004121594930866573,0.4672194411723673,3.132053593422636,-1.7081810264148177e-06,1.0,8.628803609537643,1,0.23562746854912178,0.6822169952785543,0.7220744515792046,1.2384077318199227,-0.0038901784968628657,1.0,1.3754870855988564,1,0.7043256958149833,0.6928302148604729,0.9881974767911041,0.7774217881709812,0.00030358673572053165,1.0,0.5366769775835197,1,1.2357862097279417,0.6471515055555976,1.395125000727017,0.4826257060668704,-0.00010260829670971622,1.0,0.19246180476113192,1,4.938690119332588,0.3468945919717904,4.950868366025396,0.0701927494108064,0.001524609259745769,1.0,0.004230388704910156,0
0.14,-0.0037536188027220236,0.004731690644217885,7.421943918825558e-14,-0.4331430665610491,-0.1558173777213944,0.46020202691088075,-2.797082193487258,4.326617751121728e-07,1.0,8.778798942147395,1,0.09207173346464587,0.7168808674773363,0.7231543979522868,1.4431551662570417,-0.004280334103882198,1.0,1.5196280669122995,1,0.610703860900935,0.7786183657514643,0.9898445969953669,0.9059332919592138,0.00023704467728874636,1.0,0.5928809106750471,1,1.1848263312756764,0.7453067716452706,1.3999412839336998,0.5617443854114954,-0.00014181154004721505,1.0,0.2121318479436512,1,4.934505894914496,0.4045961032869998,4.951079273771315,0.0818891551646587,0.001753854242174701,1.0,0.004683803696565202,0
0.16,-0.0037536188027798593,0.004731690644267486,1.0058983810831701e-13,-0.3294364584830355,-0.2903100735437456,0.4388221725840979,-2.420040972576129,2.491492431242205e-06,1.0,9.024774009666976,1,-0.055318296278795344,0.7216987179880844,0.7242620523389633,1.6472817315600794,-0.004548444245464066,1.0,1.6461070167490253,1,0.5071517389138036,0.8517411442783843,0.9916663343795189,1.0339944491234951,0.000158400464396068,1.0,0.6421143468629578,1,1.1270514440080912,0.839173525255721,1.4054015319928892,0.6402839302575177,-0.0001866200943472335,1.0,0.22912267349671198,1,4.929679633764581,0.46224492181505666,4.951322600485655,0.09358446672223841,0.0019755982754842095,1.0,0.005085817808189525,0
0.18000000000000002,-0.0037536188029336885,0.004731690644320332,1.3105391338114059e-13,-0.1652624346450872,-0.3702094169328467,0.40497604006944077,-1.9912244901531622,4.57045430633782e-06,1.0,9.508913201443578,1,-0.2004198649866332,0.6966035470908555,0.7253513280362219,1.850787745518918,-0.004704959111527401,1.0,1.7569244720909794,1,0.3953981003645672,0.9110845891650222,0.9936322066166698,1.1615666031235146,7.812458710255544e-05,1.0,0.6851143406995261,1,1.062868935577904,0.9282675398530186,1.411467165789251,0.71818147623453,-0.0002359087094985073,1.0,0.24369007280678356,1,4.924212059281012,0.5198335484732802,4.951598325040584,0.10527853112449923,0.0021903579025190083,1.0,0.005442225192843718,0
0.2,-0.003753618803224043,0.00473169064437575,1.6511249832651398e-13,0.035827615968558116,-0.3623087127546362,0.3635190785730928,-1.4721767460623243,5.641959834749985e-06,1.0,10.44038322713209,1,-0.3372591201023868,0.6427607154409212,0.7263773654551144,2.05369903615301,-0.004768590867088628,1.0,1.8539104336061774,1,0.27728768316569496,0.9557750974029163,0.995709703667389,1.2886198559697568,6.897370491578664e-06,1.0,0.7225467049167154,1,0.992721071740272,1.0121496631586235,1.4180963047409905,0.7953809990204298,-0.0002880664839002898,1.0,0.25606680944518995,1,4.918103990715432,0.5773544955564177,4.951906419577377,0.11697119645137483,0.0023995953076700756,1.0,0.00575816483887699,0
