t,energy,barycenter_x,barycenter_y,mercury_x,mercury_y,mercury_r,mercury_angle,mercury_peri_angle,mercury_Keff,mercury_deltaC,mercury_state,venus_x,venus_y,venus_r,venus_angle,venus_peri_angle,venus_Keff,venus_deltaC,venus_state,earth_x,earth_y,earth_r,earth_angle,earth_peri_angle,earth_Keff,earth_deltaC,earth_state,mars_x,mars_y,mars_r,mars_angle,mars_peri_angle,mars_Keff,mars_deltaC,mars_state,jupiter_x,jupiter_y,jupiter_r,jupiter_angle,jupiter_peri_angle,jupiter_Keff,jupiter_deltaC,jupiter_state
0.0,-0.0037536188042332852,0.004731690644025039,0.0,0.30749903826,0.0,0.30749903826,0.0,0.0,1.000000312000968,0.0,0,0.718433595696,0.0,0.718433595696,0.0,0.0,1.0,0.0,0,0.98329,0.0,0.98329,0.0,0.0,1.0000000907192488,0.0,0,1.3813658577210002,0.0,1.3813658577210002,0.0,0.0,1.0,0.0,0,4.9502843052,0.0,4.9502843052,0.0,0.0,0.999999852521419,0.0,0
0.02,-0.003753618804929368,0.004731690644018917,-2.0877735846559775e-15,0.22962659235812813,0.2278896953956264,0.3235544220680855,0.78172564018274,-4.757640915862351e-06,1.0000008068860025,3.6871579239956453,1,0.7031924149354243,0.14770495847249843,0.7185487819097192,0.20711571813365193,-0.0006756377846406647,1.0000000457373974,0.3049159826711481,1,0.9751357887865875,0.12742802249123977,0.9834333989003152,0.12999747629429056,0.00014586551350552035,0.9999998178413476,0.11894203400199874,0,1.3772310786620083,0.11168927632066811,1.3817566384154163,0.08096035337013253,-3.3780156351863262e-06,1.0000000064344314,0.042896209685994,0,4.949962103481567,0.0578597290868349,4.950300522818058,0.011699716445515004,0.00027158081831701175,1.000000191654657,0.0009321738468518312,0
0.04,-0.0037536188069211577,0.004731690643995763,-1.8453459788882187e-14,0.04694773875670986,0.35804224716822625,0.3612180342176173,1.4404612150114606,-8.637024228644057e-06,1.000001031212213,6.120711113056546,1,0.658129580296665,0.2891441807445482,0.7188892278066579,0.41409933089464285,-0.001375859520511931,1.0000000862583371,0.57505558102409,1,0.9508154472000043,0.2527428391625978,0.9838611312814893,0.25991938958111965,0.0002613465895573441,1.0000001245198822,0.22432715805582182,1,1.364858475038704,0.22271027688902897,1.3829259916453052,0.16182927256081384,-1.079527898865477e-05,1.0000000121301953,0.08086796826809445,0,4.948995546683758,0.11571191925618889,4.950349182922919,0.023399272224481533,0.0005363955899940794,0.9999999518435192,0.0017589192039865018,0
0.060000000000000005,-0.0037536188089338255,0.004731690643962037,-5.756980721131899e-14,-0.15498075854873333,0.3716762023859074,0.4028501142685868,1.9656998782395485,-9.039934249485392e-06,1.000001090469392,7.458089017986123,1,0.5851949457722689,0.4183348127426554,0.7194398959310963,0.6208250524086724,-0.002083213955042493,1.000000122111033,0.814073553028436,1,0.910752630212532,0.37387168669335935,0.9845658228205166,0.3896916471826268,0.0003336679221510248,1.000000165131767,0.31758600193445596,1,1.3443427046256726,0.3324020866684829,1.3848649890337712,0.24251648584711966,-2.393765742449591e-05,1.000000017160043,0.11440028569605214,0,4.947384779867316,0.17354903300998686,4.950430296488057,0.03509850935308142,0.000793660966552916,0.9999998583883382,0.0024921394100259277,0
0.08,-0.0037536188103734387,0.004731690643924951,-1.1911649509636912e-13,-0.32194625075462047,0.2956731083409368,0.43727367243907084,2.3983404514516926,-7.021553527742686e-06,1.0000011318422404,8.132193810104658,1,0.48753291219688,0.5298440002808806,0.7201766664187014,0.8271792215220031,-0.002759467429466959,1.0000001537859742,1.0252398285223474,1,0.855642837572792,0.4888215519013845,0.9855352963268377,0.5192430873826195,0.00036166630567394125,0.9999998624496188,0.39999284672693725,1,1.3158397434268256,0.44011832393740596,1.3875588964382004,0.32293400612234274,-4.342985474029425e-05,1.0000000215888347,0.14392556501813106,0,4.945130044747529,0.23136353569188392,4.950543867556999,0.046797271596115145,0.0010441497988088466,1.0000001941282795,0.003142391814119725,0
0.1,-0.0037536188112536582,0.004731690643888606,-2.0116119056959314e-13,-0.4292554034796051,0.1633610804557943,0.4593979140056495,2.7773873834880205,-5.0889354100777754e-06,1.00000123727738,8.457579153306215,1,0.3693318591128673,0.6190259128700226,0.7210675819343288,1.0330652854174414,-0.0033660438968444156,1.0000001817239836,1.2114932241100786,1,0.786437989826025,0.5957162396468276,0.9867528167603701,0.6485068797556122,0.0003499961909171569,1.0000001327737933,0.47268446660302277,1,1.2795642797648243,0.5452339432673198,1.3909874120652976,0.4029971902005097,-6.959099785714433e-05,1.0000000254745682,0.16983045458134416,1,4.942231679620801,0.28914789691158693,4.950689893297518,0.05849540334473113,0.001287925759734982,0.999999944453308,0.003719039984934404,0
0.12000000000000001,-0.003753618811611845,0.004731690643856631,-3.0236853602524927e-13,-0.4671836365766905,0.004119052361750183,0.4672181345045705,3.132059008923409,-4.495530534704705e-06,1.0000014030115107,8.628827616571101,1,0.23562740660119694,0.6822169519241885,0.7220743903839938,1.2384077933237352,-0.0038724864837552282,1.0000002063230813,1.375487208764196,1,0.7043256782146847,0.6928302084292909,0.9881974597358749,0.7774217960253287,0.0003064706198425092,1.0000002218750332,0.5366769873986099,1,1.2357862049417694,0.6471515045575875,1.3951249960244803,0.48262570702519614,-0.00010243018363150041,1.0000000288692708,0.19246180547541006,1,4.93869011926623,0.3468945919699842,4.95086836595932,0.07019274941133952,0.001524617705908791,0.9999998643671385,0.004230388704974155,0
0.14,-0.0037536188113458623,0.004731690643833288,-4.2083394061198653e-13,-0.4331402981596215,-0.15582013411195425,0.46020035212354865,-2.7970745241829658,-4.9785345113476174e-06,1.0000015674870315,8.778831089371536,1,0.09207164814054182,0.716880790024257,0.7231543102678513,1.4431552696514587,-0.004261102980346048,1.0000002279442404,1.5196282685852343,1,0.6107038354587189,0.7786183544751409,0.9898445724244168,0.9059333051588904,0.0002404703901798113,0.9999998987010132,0.5928809267393248,1,1.184826324468539,0.7453067699611144,1.3999412772758422,0.5617443869831006,-0.0001415974775597125,1.0000000318197773,0.21213184908084887,1,4.934505894822725,0.4045961032841121,4.951079273680068,0.08188915516554769,0.001753863935280251,1.0000001961947476,0.004683803696666267,0
0.16,-0.003753618810281639,0.004731690643822739,-5.526994335293411e-13,-0.3294317916236195,-0.29031227050595504,0.4388201200209673,-2.4200301888054465,-5.590278120341846e-06,1.0000016656748656,9.024817999308752,1,-0.05531840369855391,0.7216985907859825,0.7242619337166534,1.6472818928616735,-0.004529088266343877,1.0000002469160985,1.646107323110931,1,0.5071517041429648,0.8517411258838722,0.9916663007910551,1.0339944697683656,0.00016230097074204617,1.000000127664116,0.6421143713337822,1,1.1270514347709022,0.839173522598682,1.4054015229985073,0.640283932667688,-0.00018637055999984133,1.0000000343684012,0.22912267518992457,1,4.92967963364312,0.4622449218107141,4.9513226003650415,0.09358446672362705,0.001975608977076753,0.9999999370629886,0.005085817808338952,0
0.18000000000000002,-0.003753618808262682,0.004731690643827349,-6.916296962228285e-13,-0.16525581710054368,-0.37020978680754196,0.40497367682023366,-1.99120919973581,-5.713743656750162e-06,1.0000016832394676,9.50897610315046,1,-0.20041998810691639,0.6966033521638254,0.7253511747239755,1.8507879829105132,-0.004687091759149318,1.0000002635387366,1.7569249109881506,1,0.3953980549781872,0.9110845608009613,0.9936321625359062,1.1615666336697643,8.24675661332695e-05,1.0000002645368768,0.685114375963204,1,1.0628689234959696,0.9282675358734807,1.4114671540737902,0.7181814797436376,-0.00023562486837012812,1.0000000365535113,0.24369007520024186,1,4.9242120591255825,0.5198335484670558,4.951598324886378,0.10527853112656493,0.002190370834782024,0.9999998704828819,0.005442225193053949,0
