t,energy,barycenter_x,barycenter_y,mercury_x,mercury_y,mercury_r,mercury_angle,mercury_peri_angle,mercury_Keff,mercury_deltaC,mercury_state,venus_x,venus_y,venus_r,venus_angle,venus_peri_angle,venus_Keff,venus_deltaC,venus_state,earth_x,earth_y,earth_r,earth_angle,earth_peri_angle,earth_Keff,earth_deltaC,earth_state,mars_x,mars_y,mars_r,mars_angle,mars_peri_angle,mars_Keff,mars_deltaC,mars_state,jupiter_x,jupiter_y,jupiter_r,jupiter_angle,jupiter_peri_angle,jupiter_Keff,jupiter_deltaC,jupiter_state
0.0,-0.0037536188042332852,0.004731690644025039,0.0,0.30749903826,0.0,0.30749903826,0.0,0.0,1.000000312000968,0.0,0,0.718433595696,0.0,0.718433595696,0.0,0.0,1.0,0.0,0,0.98329,0.0,0.98329,0.0,0.0,1.0000000907192488,0.0,0,1.3813658577210002,0.0,1.3813658577210002,0.0,0.0,1.0,0.0,0,4.9502843052,0.0,4.9502843052,0.0,0.0,0.999999852521419,0.0,0
0.01,-0.003753618804378676,0.004731690644024032,-2.1409604774799695e-16,0.28699751868107104,0.12165003121296349,0.3117259567912459,0.4009972198985232,-2.367702282243688e-06,1.0000005931628928,1.9752034534730731,1,0.7146129132365237,0.07424744204039099,0.7184624727399118,0.10356619111465847,-0.0003353761271769579,1.000000023557522,0.1570501461389787,1,0.9812492175569363,0.06384656331082562,0.9833258882499389,0.06500347805893003,7.514719063384139e-05,1.0000001137629797,0.06126172439668728,0,1.380331666052009,0.05588649211427988,1.3814635996554392,0.04048590507586879,-1.3822780746938864e-06,1.0000000033144356,0.022096237325903625,0,4.9502037540149475,0.028930335742381148,4.950288359453355,0.005849868317518783,0.00013636217554699763,1.000000044621003,0.00048006657057109414,0
0.02,-0.003753618804928258,0.0047316906440189105,-2.0877397033380873e-15,0.22962659237027905,0.22788969549607146,0.32355442214747304,0.7817256403766035,-4.760613933564388e-06,1.000000806886002,3.6871579205039375,1,0.7031924149354224,0.14770495847283713,0.718548781909787,0.20711571813411378,-0.0006756379022998532,1.0000000457373974,0.30491598267077513,1,0.9751357887865707,0.12742802249128474,0.9834333989003045,0.12999747629433814,0.00014586551543247674,0.9999998178413476,0.11894203400208586,0,1.377231078662008,0.11168927632067387,1.3817566384154163,0.08096035337013673,-3.3780157244803257e-06,1.0000000064344314,0.04289620968601844,0,4.9499621034815595,0.057859729086834934,4.9503005228180506,0.011699716445515032,0.00027158081978488277,1.000000191654657,0.0009321738468520694,0
0.030000000000000002,-0.0037536188058404796,0.004731690644009237,-7.666651059660967e-15,0.1456186952942058,0.3081220322646179,0.340874698975721,1.1294150791059572,-7.027122388321752e-06,1.0000009493146007,5.066748189440575,1,0.6842962372303807,0.21959158957311098,0.7186915621789636,0.310632118966323,-0.0010229087599756329,1.0000000666142048,0.4440946994672045,1,0.9649764187635554,0.1904805460823668,0.9836120698354036,0.1949725608031689,0.00020864130693603987,1.0000001304140735,0.173235893193719,1,1.3720700498514307,0.16732487620871475,1.3822444133152572,0.12141192486765714,-6.43175225861762e-06,1.0000000093699017,0.062466012233274186,0,4.949559362667308,0.08678723767974796,4.950320796763084,0.017549524354018915,0.0004049818351401208,1.0000001449647213,0.0013579476706899768,0
0.04,-0.003753618806919005,0.004731690643995752,-1.845331071108347e-14,0.046947738873115936,0.3580422473793388,0.36121803444206824,1.4404612147678924,-8.640632651696786e-06,1.0000010312122118,6.120711104897954,1,0.658129580296663,0.28914418074521187,0.7188892278069231,0.4140993308954892,-0.0013758597502708044,1.0000000862583371,0.5750555810232132,1,0.9508154471999726,0.2527428391626871,0.9838611312814816,0.2599193895812157,0.00026134659325324365,1.0000001245198822,0.2243271580559854,1,1.3648584750387045,0.22271027688904027,1.3829259916453076,0.16182927256082183,-1.0795279162096775e-05,1.0000000121301953,0.08086796826813944,0,4.948995546683745,0.11571191925618902,4.950349182922907,0.023399272224481626,0.0005363955962471969,0.9999999518435192,0.0017589192039869283,0
0.05,-0.0037536188079835744,0.004731690643979653,-3.508334573375238e-14,-0.05588587345584539,0.3781735547716642,0.3824195170039835,1.717465425106367,-9.295925890587702e-06,1.0000010714430045,6.898008543072286,1,0.6249761982080103,0.35562597100695803,0.7191395916614022,0.5175018789255661,-0.0017308758616383208,1.0000001047363076,0.6982420508315584,1,0.9327145976192674,0.31395738944983365,0.9841795078527834,0.32482875853043897,0.00030315552807420453,0.9999998414687019,0.2723892899296669,1,1.3556101484680965,0.2777631520617624,1.3838000719394505,0.20220115796372212,-1.6602624965435842e-05,1.0000000147241326,0.09816088396594741,0,4.948270676685249,0.14463283168434246,4.95038568258136,0.029248940406792656,0.000665910941699198,0.9999998076967747,0.0021365304427725836,0
0.060000000000000005,-0.0037536188089312876,0.004731690643962019,-5.75696174759388e-14,-0.15498075831571662,0.3716762028452817,0.40285011460295883,1.9656998772669474,-9.043518366244492e-06,1.0000010904693901,7.458089005761877,1,0.5851949457722905,0.4183348127436266,0.7194398959316788,0.620825052409753,-0.0020832142865593187,1.000000122111033,0.8140735530267833,1,0.9107526302124836,0.37387168669349125,0.984565822820522,0.38969164718276944,0.00033366790881982094,1.000000165131767,0.3175860019346826,1,1.344342704625672,0.3324020866684994,1.3848649890337745,0.24251648584713142,-2.3937657682462325e-05,1.000000017160043,0.11440028569611431,0,4.947384779867298,0.17354903300998695,4.95043029648804,0.03509850935308157,0.0007936609664412334,0.9999998583883382,0.0024921394100265006,0
0.07,-0.0037536188097259376,0.0047316906439436,-8.567381830013043e-14,-0.24487075303632128,0.3427320202147399,0.4213828876903499,2.1909044765012946,-8.167808934328415e-06,1.000001106205304,7.854879256943053,1,0.5392154405100773,0.47661091339804956,0.7197868488280252,0.7240550685386509,-0.00242776058433064,1.0000001384420933,0.9229472895796336,1,0.8850249018606302,0.43223940670621086,0.9850184047380166,0.45449926354468934,0.00035296442949928606,1.0000001306180557,0.36007185922847973,1,1.3310775439338665,0.3865467937170194,1.3861187208042691,0.2827643380499597,-3.2863771306444976e-05,1.000000019445796,0.12963864108100612,0,4.946337889464384,0.20245958150100085,4.9504830248783,0.04094795957020025,0.0009197318529663234,1.000000052697165,0.0028270250460669228,0
0.08,-0.0037536188103707777,0.004731690643924928,-1.1911587168011994e-13,-0.3219462505402762,0.29567310915834405,0.43727367283438334,2.39834044974366,-7.0250529042866005e-06,1.0000011318422382,8.132193795102015,1,0.48753291219697853,0.5298440002821571,0.7201766664197077,0.8271792215231023,-0.0027594678476693508,1.0000001537859742,1.0252398285195394,1,0.8556428375727261,0.48882155190155513,0.9855352963268652,0.5192430873828031,0.00036166629279892716,0.9999998624496188,0.3999928467272108,1,1.3158397434268245,0.4401183239374277,1.3875588964382064,0.32293400612235784,-4.342985507481429e-05,1.0000000215888347,0.14392556501820755,0,4.945130044747505,0.2313635356918842,4.950543867556975,0.04679727159611546,0.0010441498004360524,1.0000001941282795,0.003142391814120414,0
0.09000000000000001,-0.0037536188108763724,0.004731690643906455,-1.576625657286057e-13,-0.3838906613786828,0.2346153777617594,0.4500448901085896,2.592545270945634,-5.928635556328005e-06,1.0000011749228839,8.32423079948728,1,0.4307023240787057,0.5774798219142254,0.7206051190646279,0.9301860162757825,-0.00307362423101116,1.0000001681962887,1.1213085915536634,1,0.8227333181720307,0.5433875407947925,0.9861142652871858,0.583914911380246,0.00036039053499641364,1.0000001954572124,0.43748690958120234,1,1.2986579532286624,0.4930392670171659,1.3891828061248321,0.36301502253343965,-5.566812197653953e-05,1.0000000235962019,0.15730801183643986,1,4.943761291021304,0.260259954428294,4.950612823977546,0.05264642599234105,0.0011668960288481252,1.0000001396702443,0.003439374037633374,0
