t,x,y,well_distance,speed,spin,orientation,orbital_L,max_strain,max_compression,rms_displacement,mechanical_energy,dissipated_energy,energy_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,6.515619270111784e-20,1.2997175006955106e-28,3.015266414823445e-34,3.0152664149281685e-34
0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,5.116099292923104e-18,1.3767578877452871e-28,5.011752405557542e-31,8.205213945533401e-30
0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.77134264318784e-17,1.5536361757664565e-28,3.28005938417182e-30,2.867192689126641e-29
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,3.718382624247533e-17,1.8040487012449542e-28,9.875001563239897e-30,6.030812161818426e-29
0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,6.290382530212385e-17,2.107074342491605e-28,2.136394473316421e-29,1.0209962891277363e-28
0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,9.429593987130262e-17,2.4462249055607113e-28,3.84542006481976e-29,1.5310494113471768e-28
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.3076998709489365e-16,2.7681218057595364e-28,6.149413168903376e-29,2.0833456219543637e-28
0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,1.7012585469337879e-16,2.975502895361238e-28,8.830968939065506e-29,2.5588822885722784e-28
0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.1082300163776738e-16,3.6507343971375896e-28,1.1777328852416016e-28,3.528749781683681e-28
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.486219195212619e-16,5.499025615752586e-28,1.4624046025006612e-28,5.661712717557736e-28
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.725944825191124e-16,4.802677723914198e-28,1.6127627969818686e-28,5.115723020200556e-28
0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.8246518630113225e-16,4.957022518266222e-28,1.7094991233730612e-28,5.366804140943772e-28
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.795702407892763e-16,5.285057228755558e-28,1.8384913561640439e-28,5.823831084224091e-28
0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.6640892731103845e-16,5.817514829474179e-28,2.0586118972935526e-28,6.57640922607222e-28
0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.4973885989087066e-16,3.2811574953940784e-28,2.3674587374040496e-28,4.348898732102617e-28
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.4073428545677446e-16,2.32500638871368e-28,2.596599946071516e-28,3.6218888340896855e-28
0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.400814833738995e-16,2.0383654541027435e-28,2.7436909593522976e-28,3.4823389127595305e-28
0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.459640145306716e-16,2.145966828405692e-28,2.839595194518011e-28,3.685844522228193e-28
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,1.9984014443252818e-15,2.541495285441671e-16,5.684438974978352e-28,2.892871251030968e-28,7.277592725313809e-28
0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.606641581384237e-16,2.168032270356996e-28,2.9500205121972234e-28,3.8183352818587086e-28
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.669416962206801e-16,2.2945949094793036e-28,3.0539491489381015e-28,4.048826557721894e-28
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.7388269033621107e-16,2.5581974790881906e-28,3.1869653135849758e-28,4.445445291977656e-28
0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.799057979147857e-16,2.356705414093865e-28,3.305828192191786e-28,4.362816105590141e-28
0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.845063350497528e-16,3.0288715664176143e-28,3.3950136634013533e-28,5.124167729123456e-28
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.8483177901839623e-16,3.933161366988058e-28,3.444356782437994e-28,6.077800648730541e-28
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.779369221240886e-16,4.140537324237265e-28,3.493264511117658e-28,6.334084334659412e-28
0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.668659017510721e-16,2.6232760277987263e-28,3.580311706586644e-28,4.903870233689859e-28
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,8.881784197001252e-16,2.5849968486276006e-16,1.8054121626156565e-28,3.651767704879888e-28,4.157462366800033e-28
0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.560798412211571e-16,1.7593142889770917e-28,3.692362463555886e-28,4.151959251837467e-28
0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.598260573764291e-16,1.9416260147825782e-28,3.712431655207402e-28,4.3543401692944685e-28
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.6879029011891824e-16,1.943796615073499e-28,3.7416239666625345e-28,4.385703081040523e-28
1.0333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,8.881784197001252e-16,2.796831546919506e-16,2.0335623270070737e-28,3.7823306482651364e-28,4.516175474576699e-28
1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.8804524060329965e-16,2.0970733742804416e-28,3.8078941569449747e-28,4.605250030529906e-28
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.909199756701307e-16,1.9706957559735862e-28,3.8227341983694032e-28,4.493712453647479e-28
1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.882862129355706e-16,2.1960381609520357e-28,3.8463397926730997e-28,4.742660452929625e-28
1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.83211798141241e-16,2.441061859282429e-28,3.8800565148128667e-28,5.021400873399784e-28
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.3322676295501878e-15,2.789913270093873e-16,2.626706209913492e-28,3.9267992944443824e-28,5.2537880036623635e-28
1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.763298372295187e-16,2.8679810024113434e-28,3.9798199480053508e-28,5.548083449721183e-28
1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.7279697509705703e-16,2.3367994624644803e-28,4.016679031874018e-28,5.053760993642987e-28
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.2212453270876722e-15,2.6940221381486157e-16,1.7880234424812728e-28,4.050123829891077e-28,4.53842977167684e-28
1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.6745446398976754e-16,2.0946987105180607e-28,4.0695756283698305e-28,4.8645568381923806e-28
1.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,2.6690480056417146e-16,1.4279437399738708e-28,4.087734299767231e-28,4.215960539045592e-28
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.693033392847763e-16,2.2866518899984756e-28,4.108310489943711e-28,5.095244879246675e-28
1.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.702561151987057e-16,2.2212997452816876e-28,4.120961664746888e-28,5.042543909333064e-28
1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.2212453270876722e-15,2.6902722933185134e-16,1.8110100951656163e-28,4.13812374402231e-28,4.649416338492415e-28
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.2212453270876722e-15,2.68163114364611e-16,1.543681959141768e-28,4.1518373521384915e-28,4.395801810584748e-28
1.5333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.6758237695087394e-16,1.6365983841822277e-28,4.1615702428308295e-28,4.498451126317546e-28
1.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,1.3322676295501878e-15,2.6851583478888306e-16,1.6705855424621176e-28,4.175339714153303e-28,4.5462077559199095e-28
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.9984014443252818e-15,2.711283172921826e-16,2.357849238248258e-28,4.18863922366323e-28,5.246770961215978e-28
1.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,8.881784197001252e-16,2.7190858960319534e-16,1.4368696519704316e-28,4.2006292349930355e-28,4.337781386267956e-28
1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,1.2212453270876722e-15,2.709400473315886e-16,1.7321312955827507e-28,4.218362284599714e-28,4.650776079486954e-28
