t,x,y,well_distance,speed,spin,orientation,orbital_L,max_strain,max_compression,rms_displacement,mechanical_energy,dissipated_energy,energy_balance_error
0.0,4.624998879853258,0.002578129741550827,4.624999598421264,0.6187270517553384,-5.0398066623659287e-20,0.35,2.8616122270271553,3.2649198276613056e-05,8.585147694506468e-05,3.3209139439549595e-05,-1.8480072939911731,6.246203866645704e-06,6.246203866577815e-06
0.03333333333333333,4.624909287675312,0.02319576833323317,4.624967455333489,0.6183471655596534,-8.712522184456982e-19,0.35,2.859824243266607,0.002548470655777124,0.00677070418285608,0.002681399809073338,0.3350637567250616,0.0110071005562448,2.1940781512724796
0.06666666666666667,4.624676416172781,0.043799805789533054,4.624883823112956,0.6179782660724956,-1.463367689837005e-18,0.35,2.8580373766685794,0.008704740174461989,0.023359206947230593,0.00952714672251687,5.914095772087447,0.0760664702679818,7.8381695363466015
0.1,4.624300358232925,0.0643896120096031,4.624748622929457,0.617620375700245,-2.0641030370812894e-18,0.35,2.8562516265350504,0.017881659651744708,0.04849540283397791,0.020496350868021564,14.707477466062397,0.24098978199210708,16.796474542045676
0.13333333333333333,4.623781208747692,0.08496455765995953,4.624561778420375,0.6172735159700449,-2.439868760365206e-18,0.35,2.8544669921684345,0.029366017076366324,0.08054009002383022,0.03548947813063642,26.475525406072784,0.5468684047049146,28.87040110476887
0.16666666666666666,4.623119064607062,0.1055240141617691,4.624323215682279,0.6169377075263048,-2.977363704336678e-18,0.35,2.8526834728715813,0.04239460290797814,0.11767976741690822,0.054382516972813565,40.92655055689061,1.0292882982434817,43.80384614912526
0.2,4.622314024692852,0.12606735367810776,4.624032863262936,0.6166129701272391,-3.2718179283400486e-18,0.35,2.850901067947775,0.05619616103136038,0.1583471130265226,0.07702806071401488,57.72396112447577,1.7177833305796746,61.289751749046616
0.23333333333333334,4.621366189872982,0.1465939491011963,4.623690652153776,0.6162993226414454,-3.9510938654353614e-18,0.35,2.8491197767007366,0.07002977420302292,0.2005529019990494,0.10325649550609345,76.49426527635221,2.635498598487385,80.97777116883077
0.26666666666666666,4.620275662996204,0.16710317403961875,4.623296515782773,0.6159967830445227,-4.099467543171187e-18,0.35,2.847339598434622,0.08384722578083836,0.24250472389353783,0.1328772793287364,96.83580725205617,3.79902519227098,102.48283973831832
0.3,4.619042548887276,0.18759440280552847,4.622850390007774,0.6157053684157342,-4.4209097964786426e-18,0.35,2.8455605324540256,0.09681737888924125,0.2825186392016982,0.16568030077032714,118.3280382501865,5.218373472784366,125.39441901696203
0.3333333333333333,4.617666954342604,0.2080670104018476,4.622352213110254,0.6154250949347119,-4.529516012020911e-18,0.35,2.843782578063968,0.10795481139641327,0.3190599534934965,0.2014373087610685,140.5410978117615,6.897062445576044,149.2861675513287
0.36666666666666664,4.616148988126345,0.22852037250946508,4.621801925789523,0.6151559778782114,-4.620594712530884e-18,0.35,2.8420057345699106,0.11661496590942899,0.3520399983707143,0.23990340593917575,163.0454687053928,8.832313413754319,173.7257894131383
