t,x,y,well_distance,speed,spin,orientation,orbital_L,max_strain,max_compression,rms_displacement,lattice_energy_proxy,packet_energy_proxy
0.0,4.624996065513003,0.0034373312767187352,4.624997342837839,0.6187200351285997,0.07988398993575224,0.3504437999440875,2.861578287868347,4.440892098500626e-16,8.881784197001252e-16,0.00014856669993581784,0.045411065152170305,0.46448253972188713
0.03333333333333333,4.624889855809178,0.024054659196794215,4.624952411106055,0.618394356132636,0.0791898568130291,0.3530930936297695,2.8600331501982024,0.0023658638027198586,0.006274984335778222,0.00414753777817675,2.204568176043358,0.4639107223736914
0.06666666666666667,4.624642101984082,0.04466011423884343,4.62485773805504,0.6180789104580816,0.07849905575530297,0.35571931422932995,2.858487926255316,0.008415735635117771,0.022569440469930813,0.013425170734560465,7.50186072054553,0.4633555288672384
0.1,4.624252889714359,0.06525306524038413,4.624713261441715,0.6177737114629603,0.07781162590974941,0.35832257357238867,2.8569425995150577,0.017531648972239355,0.04757972437209501,0.027887872774674204,15.744445284081888,0.46281694959104014
0.13333333333333333,4.62372230682392,0.08583288162622538,4.624518921378674,0.617478771660799,0.077127606573526,0.36090298479639465,2.8553971533899127,0.029002055259515713,0.07978412141612112,0.04740973451267443,26.669162803304133,0.4622949742986835
0.16666666666666669,4.623050443279578,0.10639893339771717,4.624274660326273,0.617194102718845,0.07644703719106102,0.36346066235157337,2.853851571230522,0.042066593065437696,0.11765679984513577,0.07183377038490504,39.94992356918464,0.4617895921133374
0.2,4.622237391187121,0.12695059112199353,4.623980423085131,0.6169197154563385,0.07576995735119567,0.3659957220057803,2.852305836326795,0.055959239623904145,0.15938686443867345,0.10097331873579633,55.20650424284933,0.46130079153207715
0.23333333333333334,4.621283244787807,0.1474872259212144,4.623636156788989,0.616655619842842,0.07509640678417741,0.368508280849257,2.85075993190907,0.06994760136587441,0.20322345714768097,0.1346135782299411,72.01456665493833,0.4608285604300273
0.26666666666666666,4.62018810045528,0.16800820946181225,4.623241810897969,0.6164018249966254,0.07442642535850293,0.3709984572992836,2.8492138411493384,0.08341698401270436,0.24746973463285316,0.17251326314131957,89.91666934109786,0.46037288606432036
0.3,4.6189520566929225,0.18851291394374847,4.622797337192205,0.6161583391831116,0.07376005307760788,0.37346637110472286,2.8476675471625286,0.09650064439844896,0.2905315740508715,0.21440636456813214,108.43400262773483,0.45993375507787765
